Year,Area,Bronx,Kings,New York,Queens,Richmond,
1990,Total,71094,138922,173352,134738,18761,
1991,Total,66556,130445,167968,128384,16682,
1992,Total,61501,120017,150159,121080,14825,
1993,Total,60692,114305,136551,120451,14856,
1994,Total,56467,100186,119188,103638,14777,
1995,Total,48737,83846,98543,86146,11080,
1996,Total,43157,71861,85392,75037,9428,
1997,Total,38034,68757,80079,68062,8775,
1998,Total,34073,65324,71751,59173,7205,
1999,Total,33108,60428,65434,54898,7070,
2000,Total,33055,58301,63696,50313,6891,
2001,Total,31574,52605,58748,46347,6214,
2002,Total,29923,51241,54941,44264,6422,
2003,Total,29690,49804,52277,39336,5660,
2004,Total,28142,48227,51317,37819,5683,
2005,Total,26699,46870,48502,34872,5566,
2006,Total,24733,43376,45593,34006,5728,
2007,Total,24364,41795,45043,32784,5502,
2008,Total,23939,42652,45555,31660,6183,
2009,Total,22513,40013,44189,29626,5659,
2010,Total,21938,40658,42468,29083,5468,
2011,Total,22863,40832,41837,29552,5373,
2012,Total,23161,42017,42654,29446,5482,
2013,Total,23260,40798,43164,29173,5576,
2014,Total,23317,39647,39239,28230,5314,
2015,Total,22890,37572,38518,26066,4814,
2016,Total,23017,35279,37814,24444,4724,
2017,Total,22973,35173,38475,23676,4518,
2018,Total,22841,35722,40879,24279,4330,
2019,Total,22098,33541,40079,23090,3491,
2020,Total,23088,36348,38412,27817,3695,
2021,Total,23492,35227,41822,29068,3532,
2022,Total,30678,45293,56469,38486,5435,
